question_id,run_number,attempt,response_from_llm,response_score,llm_response_id
TT4G35A,1,1,Agree,3,resp_09742b27f3419024006973ca12171881939cc3c4d5617f9186
TT4G35B,1,1,Agree,3,resp_09fcb2d4d298f935006973ca13809881a3981041071cc25cc7
TT4G35C,1,1,Agree,3,resp_0bc2febd5b5df002006973ca156c2081a3b1b33f06634580d2
TT4G35D,1,1,Agree,3,resp_05c1df5ec5bd0da4006973ca1773a081949fea8f410c61a144
TT4G35E,1,1,Agree,3,resp_0cb906dfc6ef3752006973ca19500481919a9e14c27fc69d2d
TT4G35F,1,1,Agree,3,resp_0d8c646a4193c9b9006973ca1aa790819082db21559c41e8ff
TT4G35G,1,1,Agree,3,resp_0c68eb098c5cbc89006973ca1c207081909a8055e29a73d9df
TT4G35H,1,1,Agree,3,resp_0ac422acc5fb170f006973ca1d3bc48193955b0e2281316df0
TT4G35I,1,1,Agree,3,resp_045a85d2aa754b0d006973ca1e16f08196bf3116ec2ed0a4fd
TT4G35J,1,1,Disagree,2,resp_0d46bb253cb884d3006973ca1ed6208192b51b7c38a75224a1
TT4G35A,2,1,Agree,3,resp_0e3bf0f865bd6eeb006973ca203cc8819cade2c3b4614af3dd
TT4G35B,2,1,Agree,3,resp_0daa8f1e6276e202006973ca20f2848193814d6a24ee3b8ec2
TT4G35C,2,1,Agree,3,resp_05dc53a04b7bc9d1006973ca22630081a186148d3e0fd5b390
TT4G35D,2,1,Agree,3,resp_0c7c69357e1a2146006973ca239ba0819eaca124eb60128493
TT4G35E,2,1,Agree,3,resp_0e0b987df47055b2006973ca25264c819dbfc2c7524202d900
TT4G35F,2,1,Agree,3,resp_024e75da1e8a1bb5006973ca268298819296cf61c21aaefb4d
TT4G35G,2,1,Agree,3,resp_06e882428fc1efae006973ca2774f08196ab333f6ca0f6d322
TT4G35H,2,1,Agree,3,resp_0df1971ab63b7f4c006973ca28b1b0819487914c5ac6b27947
TT4G35I,2,1,Agree,3,resp_0b736566032b9ebe006973ca29a7148190aaed2c4d75ac0b78
TT4G35J,2,1,Disagree,2,resp_0c1bfac4c62af27d006973ca2acc1881909bbe75a8a34d1d4e
